rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
1,MED:29412457,29412457,PMC5947827,10.1002/path.5051,direct,include,high,,true,Prospective patient stratification into robust cancer-cell intrinsic subtypes from colorectal cancer biopsies.,"The title directly joins the locked classifier domain to a reliability, assay, preprocessing, uncertainty, or transport method.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method,false
2,MED:36376783,36376783,PMC9664820,10.1186/s12014-022-09380-y,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Determination of temporal reproducibility and variability of cancer biomarkers in serum and EDTA plasma samples using a proximity extension assay.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record,false
3,MED:27270348,27270348,PMC5065181,10.1001/jamaoncol.2016.2314,supporting,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Clinical Outcome From Oxaliplatin Treatment in Stage II/III Colon Cancer According to Intrinsic Subtypes: Secondary Analysis of NSABP C-07/NRG Oncology Randomized Clinical Trial.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
4,MED:22213796,22213796,,10.1136/gutjnl-2011-301179,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,ColoGuideEx: a robust gene classifier specific for stage II colorectal cancer prognosis.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
5,MED:18550803,18550803,PMC2527709,10.1101/gr.079558.108,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,RNA-seq: an assessment of technical reproducibility and comparison with gene expression arrays.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
6,MED:23852808,23852808,PMC4234005,10.1002/ijc.28387,supporting,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,"Colorectal cancer intrinsic subtypes predict chemotherapy benefit, deficient mismatch repair and epithelial-to-mesenchymal transition.","The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
7,MED:16594740,16594740,,10.5858/2006-130-465-mcohcu,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Molecular classification of human cancers using a 92-gene real-time quantitative polymerase chain reaction assay.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
8,MED:38272913,38272913,PMC10811238,10.1038/s41467-024-44946-4,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Robustly federated learning model for identifying high-risk patients with postoperative gastric cancer recurrence.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|outcome_or_treatment_in_title,false
9,MED:35820451,35820451,,10.1016/j.humpath.2022.07.003,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Digital image analysis provides robust tissue microenvironment-based prognosticators in patients with stage I-IV colorectal cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
10,MED:21742808,21742808,PMC3166982,10.1158/1078-0432.ccr-11-0196,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Robust gene expression signature from formalin-fixed paraffin-embedded samples predicts prognosis of non-small-cell lung cancer patients.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
11,MED:20427518,20427518,PMC2881355,10.1093/bioinformatics/btq170,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,ConsensusClusterPlus: a class discovery tool with confidence assessments and item tracking.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record,false
12,MED:16595560,16595560,,10.1093/bioinformatics/btl117,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Pvclust: an R package for assessing the uncertainty in hierarchical clustering.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
