rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
2,MED:27130931,27130931,,10.1093/jnci/djw118,direct,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Risk Stratification and Intrinsic Subtype Classification of Breast Cancer: a Multi-Parameter Test to Rule Them All?,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_title|domain_in_record|classifier_method|second_stage_not_direct,false
21,MED:35983098,35983098,PMC9378834,10.3389/fmed.2022.923275,supporting,include,high,,true,Predict ovarian cancer by pairing serum miRNAs: Construct of single sample classifiers.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|second_stage_direct_method,false
26,MED:28398307,28398307,PMC6742427,10.1038/nbt.3838,supporting,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Reproducible RNA-seq analysis using recount2.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",strong_method_in_title|strong_method_in_record|second_stage_not_direct,false
28,MED:24708766,24708766,PMC4053092,10.1186/bcr3640,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Patient-derived xenografts of triple-negative breast cancer reproduce molecular features of patient tumors and respond to mTOR inhibition.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|second_stage_not_direct,false
50,MED:29124544,29124544,PMC5903274,10.1007/s10552-017-0977-9,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Reproductive risk factor associations with lobular and ductal carcinoma in the Carolina Breast Cancer Study.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|second_stage_not_direct,false
123,MED:23396646,23396646,PMC3567413,,supporting,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,[Molecular classification of breast cancer in Morocco].,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",classifier_method|second_stage_not_direct,false
134,MED:18181038,18181038,,10.1080/07357900701784238,supporting,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Molecular subtypes in breast cancer evaluation and management: divide and conquer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",classifier_method|second_stage_not_direct,false
140,MED:17631593,17631593,,10.1093/annonc/mdm291,supporting,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,What can breast cancer molecular sub-classification add to conventional diagnostic tools?,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",classifier_method|second_stage_not_direct,false
173,MED:39181325,39181325,PMC11524322,10.1016/j.jmoldx.2024.07.002,context,include,high,,true,Purity Independent Subtyping of Tumors (PurIST) Pancreatic Cancer Classifier: Analytic Validation of a 16-RNA Expression Signature Distinguishing Basal and Classical Subtypes.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_direct_method,false
174,MED:39326668,39326668,,10.1016/j.jmoldx.2024.08.005,context,include,high,,true,A Versatile and Upgraded Version of the LundTax Classification Algorithm Applied to Independent Cohorts.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_direct_method,false
180,PPR:PPR723583,,,10.21203/rs.3.rs-3290125/v1,context,include,high,,true,Multiregional transcriptomics identifies congruent consensus molecular subtypes with prognostic value beyond tumor heterogeneity in colorectal cancer.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_direct_method,false
188,MED:31812633,31812633,,10.1016/j.urolonc.2019.11.004,context,include,high,,true,Validation of a neuroendocrine-like classifier confirms poor outcomes in patients with bladder cancer treated with cisplatin-based neoadjuvant chemotherapy.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_direct_method,false
219,MED:15855085,15855085,,10.2214/ajr.184.5.01841391,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Reader agreement studies.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",strong_method_in_title|strong_method_in_record|second_stage_not_direct,false
224,MED:41936844,41936844,,10.1016/j.modpat.2026.100997,context,include,high,,true,Stage-Independent Real-Time Subtype Classification and Comprehensive Biopsy Profiling of Urothelial Carcinomas by the Lund Taxonomy System.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_direct_method,false
346,MED:33020218,33020218,PMC7537337,10.1136/esmoopen-2020-000829,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Breast cancer subtypes: implications for the treatment and survival of patients in Africa-a prospective cohort study from Mozambique.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
358,MED:31563503,31563503,PMC7690647,10.1016/j.eururo.2019.09.006,context,exclude,high,review_editorial_or_commentary_for_citation_chaining_only,true,A Consensus Molecular Classification of Muscle-invasive Bladder Cancer.,"Second-stage review identifies secondary, guideline, commentary, or perspective literature retained only for citation chaining.",domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
376,MED:28180256,28180256,PMC5837703,10.1093/ije/dyw357,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Cohort Profile: The Karolinska Mammography Project for Risk Prediction of Breast Cancer (KARMA).,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
381,MED:28390739,28390739,,10.1016/j.eururo.2017.03.030,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Impact of Molecular Subtypes in Muscle-invasive Bladder Cancer on Predicting Response and Survival after Neoadjuvant Chemotherapy.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
435,MED:26428518,26428518,PMC5057532,10.1007/s10552-015-0673-6,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Post-diagnosis adiposity and survival among breast cancer patients: influence of breast cancer subtype.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
450,MED:23236214,23236214,PMC3684709,10.1158/1078-0432.ccr-12-2123,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Impact of tumor microenvironment and epithelial phenotypes on metabolism in breast cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
464,MED:24236805,24236805,,10.5858/arpa.2013-0566-cp,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Template for reporting results of biomarker testing of specimens from patients with carcinoma of the breast.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
553,CTX:C1695,,,,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Salivary Development of an immuno tandem mass spectrometry (iMALDI) assay for EGFR diagnosis.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
561,MED:18279542,18279542,PMC2246182,10.1186/bcr1827,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Are triple-negative tumours and basal-like breast cancer synonymous?,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
563,PMC:PMC2246186,,PMC2246186,10.1186/bcr1832,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Are triple-negative tumours and basal-like breast cancer synonymous? Authors' response,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",outcome_or_treatment_in_title|second_stage_not_direct,false
579,MED:12509396,12509396,,10.1093/jnci/95.1.14,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Pitfalls in the use of DNA microarray data for diagnostic and prognostic classification.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
586,MED:41507084,41507084,,10.1093/jnci/djaf339,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,RE: Targeting CDK12 disrupts estrogen-receptor chromatin recruitment and ER-MED1 transcription in advanced ER+ breast cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
